player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Abdoulaye Doucouré,16.0,ml MLI,CM,24-223,90,1,0,0,0,1,1,0.8,0.8,4,2,Watford,3,3,False,True,Watford - Liverpool,1054,307,22,26,30,36,4,4,0.1,0.0,2,2,1,0,5,73,70,3,3,0,0,0,0,0,1,1,0,1,1,2,0,2,1,2,0,2,21,54,10,2,3,3,45,207,112,1,3,0,2,1,49,2,0,0,0,2,0,0,0,0,0,11,3,0,,,,,,,,,,,,,,,,
Tom Cleverley,8.0,eng ENG,RM,28-000,90,0,0,0,0,0,0,0.0,0.0,0,0,Watford,3,3,False,True,Watford - Liverpool,505,127,15,17,8,14,5,7,0.0,0.0,0,4,0,0,4,46,39,6,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,3,34,16,1,1,0,30,66,18,0,0,0,1,0,32,2,0,0,0,0,0,0,0,0,0,5,0,2,,,,,,,,,,,,,,,,6.495
José Holebas,25.0,gr GRE,LB,33-046,90,0,1,0,0,1,0,0.0,0.0,1,1,Watford,3,3,False,True,Watford - Liverpool,478,145,11,13,6,11,6,13,0.4,0.2,1,2,0,0,2,40,26,14,2,0,1,5,10,2,5,2,3,5,2,2,0,2,3,8,1,6,23,30,13,1,4,2,21,127,39,2,2,1,0,2,20,2,0,0,0,0,1,0,0,0,0,4,1,1,,,,,,,,,,,,,,,,
Miguel Britos,3.0,uy URU,CB,32-026,90,1,0,0,0,2,2,0.7,0.7,1,0,Watford,3,3,False,True,Watford - Liverpool,634,190,7,7,17,20,5,13,0.0,0.0,0,2,0,0,2,40,40,0,0,0,1,0,0,0,1,1,0,0,0,3,0,3,0,5,0,1,24,26,2,1,0,0,24,130,78,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,3,2,,,,,,,,,,,,,,,,7.075
Younès Kaboul,4.0,fr FRA,CB,31-220,90,0,0,0,0,0,0,0.0,0.0,1,0,Watford,3,3,False,True,Watford - Liverpool,848,377,6,10,15,20,10,19,0.0,0.0,0,7,0,0,1,51,51,0,0,0,1,0,0,0,3,2,0,0,0,3,1,2,1,10,0,6,35,29,7,1,1,0,34,213,104,2,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,
Daryl Janmaat,2.0,nl NED,RB,28-021,17,0,0,0,0,0,0,0.0,0.0,0,0,Watford,3,3,False,True,Watford - Liverpool,160,12,3,3,4,6,1,1,0.0,0.0,0,0,0,0,0,12,9,3,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,5,5,3,0,0,0,4,32,22,1,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,5.82
Kiko Femenía,21.0,es ESP,RB,26-191,73,0,0,0,0,0,0,0.0,0.0,1,0,Watford,3,3,False,True,Watford - Liverpool,552,272,22,26,12,14,1,5,0.0,0.0,0,3,1,0,3,47,36,11,0,0,0,4,11,0,1,1,1,2,1,1,0,1,2,1,0,1,11,24,18,0,2,1,24,136,87,3,2,0,0,0,26,2,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,
Heurelho Gomes,1.0,br BRA,GK,36-178,90,0,0,0,0,0,0,0.0,0.0,0,0,Watford,3,3,False,True,Watford - Liverpool,1018,846,1,1,8,8,16,36,0.0,0.0,0,1,0,0,0,45,30,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,49,0,0,0,0,0,25,167,102,0,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,2,0,0,5.0,3.0,2.0,3.5,11.0,30.0,33.0,8.0,44.3,12.0,61.3,11.0,0.0,3.0,17.5,6.325
Roberto Firmino,9.0,br BRA,FW,25-314,80,1,1,1,1,1,0,0.8,0.0,3,2,Liverpool,3,3,False,True,Watford - Liverpool,271,90,13,19,6,9,1,1,0.9,0.1,2,3,1,0,4,32,28,4,0,0,0,1,1,1,0,0,0,0,0,2,0,2,0,2,0,1,3,22,15,3,3,3,22,122,56,2,2,1,2,5,30,6,0,0,0,0,0,0,0,0,0,3,1,3,,,,,,,,,,,,,,,,6.945
Divock Origi,27.0,be BEL,FW,22-116,10,0,0,0,0,0,0,0.0,0.0,0,0,Liverpool,3,3,False,True,Watford - Liverpool,23,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,13,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,5.8
Sadio Mané,19.0,sn SEN,LW,25-124,90,1,0,0,0,2,1,0.3,0.3,2,0,Liverpool,3,3,False,True,Watford - Liverpool,267,72,9,11,9,15,0,1,0.1,0.1,2,1,2,0,3,31,31,0,0,1,0,2,0,0,1,1,0,0,0,3,0,3,0,0,0,0,2,17,25,5,3,0,29,205,106,5,2,1,3,3,34,4,1,0,0,1,3,0,0,0,0,3,1,3,,,,,,,,,,,,,,,,
Mohamed Salah,11.0,eg EGY,RW,25-058,85,1,0,0,0,5,1,1.1,1.1,2,1,Liverpool,3,3,False,True,Watford - Liverpool,230,76,7,8,5,7,1,1,0.0,0.0,0,2,0,0,2,20,20,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,15,15,7,1,1,21,115,64,3,1,1,3,4,22,11,0,0,0,1,1,1,1,0,0,5,1,1,,,,,,,,,,,,,,,,7.7
James Milner,7.0,eng ENG,RM,31-220,5,0,0,0,0,0,0,0.0,0.0,1,0,Liverpool,3,3,False,True,Watford - Liverpool,8,0,1,2,0,0,0,1,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,11,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.97
Georginio Wijnaldum,5.0,nl NED,LM,26-274,90,0,0,0,0,2,0,0.1,0.1,1,0,Liverpool,3,3,False,True,Watford - Liverpool,527,177,14,18,14,19,2,4,0.1,0.1,1,2,2,0,6,43,41,1,0,0,1,1,0,0,1,0,1,2,1,0,0,0,1,1,0,1,6,31,15,2,0,0,27,104,44,1,2,0,1,1,37,3,0,0,0,0,1,0,0,0,0,4,3,2,,,,,,,,,,,,,,,,6.1850000000000005
Jordan Henderson,14.0,eng ENG,CM,27-056,90,0,0,0,0,0,0,0.0,0.0,2,0,Liverpool,3,3,False,True,Watford - Liverpool,1094,348,13,18,23,33,10,15,0.1,0.1,1,6,2,0,9,68,65,3,3,0,1,0,0,0,2,2,0,2,2,1,0,1,1,0,0,2,26,40,7,0,0,0,33,149,39,0,1,0,1,1,43,0,0,0,0,0,0,0,0,0,0,9,2,0,,,,,,,,,,,,,,,,6.275
Emre Can,23.0,de GER,RM,23-212,90,0,1,0,0,0,0,0.0,0.0,6,1,Liverpool,3,3,False,True,Watford - Liverpool,577,116,15,19,14,16,3,4,0.2,0.0,1,0,1,0,4,41,40,1,0,1,0,0,1,0,3,3,1,2,1,1,0,1,1,3,0,3,14,29,12,1,1,0,26,235,146,3,4,0,1,0,35,0,0,0,0,3,2,0,0,0,0,4,3,6,,,,,,,,,,,,,,,,7.220000000000001
Alberto Moreno,18.0,es ESP,LB,25-038,90,0,0,0,0,1,1,0.1,0.1,4,1,Liverpool,3,3,False,True,Watford - Liverpool,807,279,12,15,26,32,4,9,0.0,0.0,1,3,0,0,0,58,45,13,2,0,0,3,11,0,5,3,2,4,2,2,0,2,1,6,0,3,27,30,17,0,2,2,24,182,109,3,3,0,1,0,37,8,0,0,0,1,2,0,0,0,0,2,1,2,,,,,,,,,,,,,,,,6.654999999999999
Dejan Lovren,6.0,hr CRO,CB,28-038,90,0,0,0,0,1,1,0.1,0.1,1,0,Liverpool,3,3,False,True,Watford - Liverpool,1072,426,17,21,35,39,4,7,0.0,0.0,1,4,0,0,7,67,63,4,4,0,1,0,0,0,1,1,1,3,2,1,1,0,2,4,0,3,40,35,1,1,0,0,34,190,138,1,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,3,8,2,,,,,,,,,,,,,,,,6.0649999999999995
Joël Matip,32.0,cm CMR,CB,26-004,90,0,0,0,0,1,0,0.2,0.2,0,0,Liverpool,3,3,False,True,Watford - Liverpool,894,431,15,17,30,33,2,7,0.0,0.0,0,3,0,0,3,57,55,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,0,6,38,27,5,3,0,0,32,261,213,2,1,0,1,0,41,1,0,0,0,0,1,0,0,0,0,7,3,1,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,66.0,eng ENG,RB,18-309,89,0,0,0,0,0,0,0.0,0.0,2,0,Liverpool,3,3,False,True,Watford - Liverpool,845,382,20,24,14,18,9,16,0.3,0.2,2,0,1,0,1,59,42,17,1,0,0,5,14,2,5,3,1,2,1,2,0,2,3,4,0,5,22,31,21,1,1,0,26,110,39,1,0,1,1,0,31,6,1,0,0,1,0,0,0,0,0,3,1,0,,,,,,,,,,,,,,,,6.595000000000001
Joe Gomez,12.0,eng ENG,RB,20-081,1,0,0,0,0,0,0,0.0,0.0,1,0,Liverpool,3,3,False,True,Watford - Liverpool,60,39,0,1,1,1,1,1,0.0,0.0,1,1,1,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,8,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
